WUSTLID,wave,ECON2A,ECON2B,ECON1A,ECON1B,ECON4A,ECON4B
989870,1,1,2,1,2,1,1
989870,2,NA,NA,NA,NA,NA,NA
989870,3,3,3,3,3,3,2
989870,4,NA,NA,NA,NA,NA,NA
989870,5,1,2,1,2,1,1
989870,6,NA,NA,NA,NA,NA,NA
989870,7,1,1,1,1,1,1
989870,8,NA,NA,NA,NA,NA,NA
989870,9,NA,NA,NA,NA,NA,NA
989870,10,NA,NA,NA,NA,NA,NA
989870,11,NA,NA,NA,NA,NA,NA
989870,12,NA,NA,NA,NA,NA,NA
989870,13,NA,NA,NA,NA,NA,NA
989870,26,NA,NA,NA,NA,NA,NA
989870,27,NA,NA,NA,NA,NA,NA
989870,28,NA,NA,NA,NA,NA,NA
989870,29,NA,NA,NA,NA,NA,NA
989870,30,NA,NA,NA,NA,NA,NA
989870,31,NA,NA,NA,NA,NA,NA
989870,32,NA,NA,NA,NA,NA,NA
989870,33,NA,NA,NA,NA,NA,NA
989870,34,NA,NA,NA,NA,NA,NA
989870,35,NA,NA,NA,NA,NA,NA
989870,36,NA,NA,NA,NA,NA,NA
989870,37,NA,NA,NA,NA,NA,NA
989870,38,NA,NA,NA,NA,NA,NA
989870,39,NA,NA,NA,NA,NA,NA
989870,40,NA,NA,NA,NA,NA,NA
989870,41,NA,NA,NA,NA,NA,NA
989870,42,NA,NA,NA,NA,NA,NA
989870,43,NA,NA,NA,NA,NA,NA
989870,44,NA,NA,NA,NA,NA,NA
989870,45,NA,NA,NA,NA,NA,NA
989870,46,NA,NA,NA,NA,NA,NA
989870,47,NA,NA,NA,NA,NA,NA
989870,48,NA,NA,NA,NA,NA,NA
989870,49,NA,NA,NA,NA,NA,NA
989870,50,NA,NA,NA,NA,NA,NA
989870,51,NA,NA,NA,NA,NA,NA
989870,52,NA,NA,NA,NA,NA,NA
989870,53,NA,NA,NA,NA,NA,NA
989870,54,NA,NA,NA,NA,NA,NA
989870,55,NA,NA,NA,NA,NA,NA
989870,56,NA,NA,NA,NA,NA,NA
989870,57,NA,NA,NA,NA,NA,NA
989870,58,NA,NA,NA,NA,NA,NA
989870,59,NA,NA,NA,NA,NA,NA
989870,60,NA,NA,NA,NA,NA,NA
989870,61,NA,NA,NA,NA,NA,NA
989870,62,NA,NA,NA,NA,NA,NA
989870,64,NA,NA,NA,NA,NA,NA
989870,66,NA,NA,NA,NA,NA,NA
989870,68,NA,NA,NA,NA,NA,NA
989870,69,NA,NA,NA,NA,NA,NA
989871,1,3,2,5,3,4,2
989871,2,NA,NA,NA,NA,NA,NA
989871,3,NA,NA,NA,NA,NA,NA
989871,4,3,3,4,4,3,3
989871,5,NA,NA,NA,NA,NA,NA
989871,6,NA,NA,NA,NA,NA,NA
989871,7,3,2,3,4,4,3
989871,8,3,2,NA,NA,NA,NA
989871,9,NA,NA,NA,NA,NA,NA
989871,10,3,2,4,4,4,3
989871,11,NA,NA,NA,NA,NA,NA
989871,12,3,2,3,4,3,3
