congress,chamber,rollnumber,icpsr,cast_code,prob
86,Senate,1,52,6,40.6
86,Senate,1,142,6,15.5
86,Senate,1,165,6,9.2
86,Senate,1,486,1,81.3
86,Senate,1,546,1,60.6
86,Senate,1,645,1,94.8
86,Senate,1,688,1,98.4
86,Senate,1,1027,1,86.2
86,Senate,1,1329,1,28.5
86,Senate,1,1341,1,96.7
86,Senate,1,1365,1,100.0
86,Senate,1,1366,1,98.3
86,Senate,1,1482,1,97.8
86,Senate,1,1489,1,96.5
86,Senate,1,1510,1,92.4
86,Senate,1,1540,6,74.8
86,Senate,1,1569,6,98.5
86,Senate,1,1570,1,98.8
86,Senate,1,1678,1,96.3
86,Senate,1,1721,1,81.0
86,Senate,1,1776,6,92.0
86,Senate,1,2052,6,36.0
86,Senate,1,2087,1,94.4
86,Senate,1,2267,1,99.4
86,Senate,1,2609,1,81.0
86,Senate,1,2636,1,69.7
86,Senate,1,2691,6,99.5
86,Senate,1,2803,1,99.5
86,Senate,1,2822,1,100.0
86,Senate,1,2901,1,100.0
86,Senate,1,2965,1,81.8
86,Senate,1,2987,1,100.0
86,Senate,1,3349,1,99.8
86,Senate,1,3388,1,98.4
86,Senate,1,3658,7,96.9
86,Senate,1,3704,1,95.3
86,Senate,1,3783,1,53.2
86,Senate,1,3864,1,75.9
86,Senate,1,4148,6,90.3
86,Senate,1,4154,1,71.2
86,Senate,1,4227,1,94.3
86,Senate,1,4328,1,49.7
86,Senate,1,4382,1,93.9
86,Senate,1,4418,1,99.4
86,Senate,1,4520,1,99.9
86,Senate,1,4660,1,99.0
86,Senate,1,4728,1,37.9
86,Senate,1,4851,6,30.2
86,Senate,1,4898,6,98.7
86,Senate,1,4979,1,97.6
86,Senate,1,5009,1,99.9
86,Senate,1,5073,1,100.0
86,Senate,1,5116,6,89.8
86,Senate,1,5122,1,80.7
86,Senate,1,5180,1,30.8
86,Senate,1,5213,1,99.4
86,Senate,1,5372,6,58.5
86,Senate,1,5452,1,99.7
86,Senate,1,5500,1,89.6
86,Senate,1,5767,1,99.8
86,Senate,1,5913,6,22.8
86,Senate,1,5967,1,83.4
86,Senate,1,6039,1,96.6
86,Senate,1,6134,1,48.2
86,Senate,1,6151,1,100.0
86,Senate,1,6249,1,83.5
86,Senate,1,6366,6,77.4
86,Senate,1,6597,1,93.0
86,Senate,1,6738,6,49.8
86,Senate,1,6745,1,79.9
86,Senate,1,6754,6,30.2
86,Senate,1,6796,1,98.6
86,Senate,1,6820,1,78.9
86,Senate,1,6831,1,44.9
86,Senate,1,6882,4,94.4
86,Senate,1,7070,1,89.8
86,Senate,1,7229,6,49.5
86,Senate,1,7637,6,42.0
86,Senate,1,7638,6,13.2
86,Senate,1,7722,1,92.1
86,Senate,1,7958,1,100.0
86,Senate,1,8138,1,100.0
86,Senate,1,8185,1,62.2
86,Senate,1,8270,1,99.3
86,Senate,1,8301,6,74.3
86,Senate,1,8593,1,99.7
86,Senate,1,8666,6,28.5
86,Senate,1,8764,1,99.6
86,Senate,1,8883,1,100.0
86,Senate,1,9141,1,83.6
86,Senate,1,9174,1,100.0
86,Senate,1,10110,1,76.9
86,Senate,1,10147,6,85.0
86,Senate,1,10163,1,93.5
86,Senate,1,10414,1,89.3
86,Senate,1,10450,1,99.4
86,Senate,1,10454,1,41.1
86,Senate,1,99369,1,100.0
86,Senate,1,99901,9,37.0
86,Senate,2,52,6,83.7
86,Senate,2,142,6,40.1
86,Senate,2,165,6,21.3
86,Senate,2,486,1,67.5
86,Senate,2,546,6,81.6
86,Senate,2,645,1,90.0
86,Senate,2,688,1,98.6
86,Senate,2,1027,1,65.7
86,Senate,2,1329,6,97.6
86,Senate,2,1341,1,93.8
86,Senate,2,1365,1,100.0
86,Senate,2,1366,1,99.0
86,Senate,2,1482,1,97.7
86,Senate,2,1489,1,93.3
86,Senate,2,1510,1,79.8
86,Senate,2,1540,6,97.3
86,Senate,2,1569,6,100.0
86,Senate,2,1570,1,98.5
86,Senate,2,1678,1,94.3
86,Senate,2,1721,2,61.1
86,Senate,2,1776,6,99.8
86,Senate,2,2052,6,79.0
86,Senate,2,2087,1,87.9
86,Senate,2,2267,1,99.7
86,Senate,2,2609,1,52.3
86,Senate,2,2636,1,31.9
86,Senate,2,2691,6,100.0
86,Senate,2,2803,1,99.7
86,Senate,2,2822,1,100.0
86,Senate,2,2901,1,100.0
86,Senate,2,2965,6,44.3
86,Senate,2,2987,1,100.0
86,Senate,2,3349,1,99.9
86,Senate,2,3388,1,99.5
86,Senate,2,3658,1,96.9
86,Senate,2,3704,1,94.1
86,Senate,2,3783,1,15.4
86,Senate,2,3864,1,66.7
86,Senate,2,4148,6,99.8
86,Senate,2,4154,1,42.6
86,Senate,2,4227,1,89.3
86,Senate,2,4328,6,87.2
86,Senate,2,4382,1,86.3
86,Senate,2,4418,1,99.9
86,Senate,2,4520,1,100.0
86,Senate,2,4660,1,99.2
86,Senate,2,4728,6,93.9
