congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
87,President,99902,99,0,USA,100,0,0,"KENNEDY, John Fitzgerald",K000107,1917.0,1963.0,-0.472,-0.487,-63.93398,0.833,351,26,,,
87,Senate,4418,41,0,AL,100,0,1,"HILL, Joseph Lister",H000598,1894.0,1984.0,-0.265,0.851,-83.82774,0.801,378,24,,-0.288,0.871
87,Senate,8764,41,0,AL,100,0,1,"SPARKMAN, John Jackson",S000701,1899.0,1985.0,-0.204,0.795,-94.02323,0.783,384,39,,-0.301,0.843
87,Senate,486,81,0,AK,100,0,1,"BARTLETT, Edward Lewis (Bob)",B000201,1904.0,1968.0,-0.495,0.484,-107.01385,0.764,397,45,,-0.646,0.698
87,Senate,3864,81,0,AK,100,0,1,"GRUENING, Ernest Henry",G000508,1887.0,1974.0,-0.689,0.724,-116.4959,0.741,388,57,,-0.678,0.735
87,Senate,3658,61,0,AZ,200,0,1,"GOLDWATER, Barry Morris",G000267,1909.0,1998.0,0.641,-0.289,-49.51958,0.872,361,19,,0.615,-0.293
87,Senate,4227,61,0,AZ,100,0,1,"HAYDEN, Carl Trumbull",H000385,1877.0,1972.0,-0.221,0.334,-96.24041,0.781,389,26,,-0.239,0.541
87,Senate,3388,42,0,AR,100,0,1,"FULBRIGHT, James William",F000401,1905.0,1995.0,-0.38,0.925,-125.15006,0.664,306,54,,-0.232,0.901
87,Senate,6151,42,0,AR,100,0,1,"McCLELLAN, John Little",M000332,1896.0,1977.0,0.017,0.962,-88.43319,0.789,374,34,,0.076,0.955
87,Senate,2965,71,0,CA,100,0,1,"ENGLE, Clair",E000181,1911.0,1964.0,-0.219,0.096,-94.96783,0.785,393,37,,-0.256,0.099
87,Senate,5372,71,0,CA,200,0,1,"KUCHEL, Thomas Henry",K000335,1910.0,1994.0,0.098,-0.61,-143.76495,0.69,388,74,,0.117,-0.594
87,Senate,142,62,0,CO,200,0,1,"ALLOTT, Gordon Llewellyn",A000161,1907.0,1989.0,0.308,-0.445,-110.22887,0.745,375,47,,0.284,-0.388
87,Senate,1540,62,0,CO,100,0,1,"CARROLL, John Albert",C000189,1901.0,1983.0,-0.543,-0.08,-81.69712,0.814,398,33,,-0.566,0.019
87,Senate,1329,1,0,CT,200,0,1,"BUSH, Prescott Sheldon",B001167,1895.0,1972.0,0.28,-0.945,-100.94063,0.767,380,43,,0.255,-0.951
87,Senate,2636,1,0,CT,100,0,1,"DODD, Thomas Joseph",D000390,1907.0,1971.0,-0.216,-0.034,-161.98923,0.656,384,67,,-0.165,-0.213
87,Senate,823,11,0,DE,200,0,1,"BOGGS, James Caleb",B000593,1909.0,1993.0,0.21,-0.673,-144.38475,0.693,393,67,,0.21,-0.664
87,Senate,10163,11,0,DE,200,0,1,"WILLIAMS, John James",W000518,1904.0,1988.0,0.603,-0.442,-107.84955,0.761,394,49,,0.524,-0.479
87,Senate,4520,43,0,FL,100,0,1,"HOLLAND, Spessard Lindsey",H000720,1892.0,1971.0,0.009,0.599,-152.52311,0.683,400,75,,0.006,0.562
87,Senate,8593,43,0,FL,100,0,1,"SMATHERS, George Armistead",S000505,1913.0,2007.0,-0.143,0.714,-133.98759,0.706,385,62,,-0.11,0.716
87,Senate,8138,44,0,GA,100,0,1,"RUSSELL, Richard Brevard, Jr.",R000536,1897.0,1971.0,0.005,1.0,-108.90756,0.747,373,45,,0.044,0.999
87,Senate,9174,44,0,GA,100,0,1,"TALMADGE, Herman Eugene",T000035,1913.0,2002.0,-0.091,0.996,-132.03461,0.711,387,63,,-0.008,1.0
87,Senate,3255,82,0,HI,200,0,1,"FONG, Hiram Leong",F000245,1906.0,2004.0,0.165,-0.515,-158.23909,0.659,380,77,,0.142,-0.545
87,Senate,5764,82,0,HI,100,0,1,"LONG, Oren Ethelbirt",L000425,1889.0,1965.0,-0.509,0.387,-87.70868,0.799,390,34,,-0.501,0.293
87,Senate,1721,63,0,ID,100,0,1,"CHURCH, Frank Forrester",C000388,1924.0,1984.0,-0.384,0.31,-164.94095,0.654,389,78,,-0.36,0.431
87,Senate,2803,63,0,ID,200,1,1,"DWORSHAK, Henry Clarence",D000585,1894.0,1962.0,0.402,0.056,-66.30287,0.792,284,23,,0.418,-0.094
87,Senate,10807,63,0,ID,200,2,5,"JORDAN, Leonard Beck (Len)",J000269,1899.0,1983.0,0.373,-0.36,-23.09042,0.812,111,9,,0.465,-0.263
87,Senate,2609,21,0,IL,200,0,1,"DIRKSEN, Everett McKinley",D000360,1896.0,1969.0,0.317,-0.498,-82.09055,0.802,372,34,,0.354,-0.644
87,Senate,2691,21,0,IL,100,0,1,"DOUGLAS, Paul Howard",D000456,1892.0,1976.0,-0.58,-0.815,-140.47959,0.703,399,72,,-0.784,-0.62
87,Senate,1489,22,0,IN,200,0,1,"CAPEHART, Homer Earl",C000128,1897.0,1979.0,0.37,-0.222,-89.01804,0.785,368,36,,0.37,-0.281
87,Senate,4154,22,0,IN,100,0,1,"HARTKE, Rupert Vance",H000297,1919.0,2003.0,-0.42,0.238,-105.21346,0.759,381,42,,-0.309,0.083
87,Senate,4382,31,0,IA,200,0,1,"HICKENLOOPER, Bourke Blakemore",H000559,1896.0,1971.0,0.372,-0.316,-92.68232,0.774,362,35,,0.337,-0.265
87,Senate,10812,31,0,IA,200,0,1,"MILLER, Jack Richard",M000730,1916.0,1994.0,0.326,-0.418,-132.41516,0.713,391,53,,0.389,-0.41
87,Senate,1510,32,0,KS,200,0,1,"CARLSON, Frank",C000154,1893.0,1987.0,0.232,-0.243,-94.64966,0.758,341,36,,0.217,-0.204
87,Senate,8270,32,0,KS,200,1,1,"SCHOEPPEL, Andrew Frank",S000138,1894.0,1962.0,0.377,0.012,-38.25371,0.809,180,20,,0.376,0.023
87,Senate,10817,32,0,KS,200,2,5,"PEARSON, James Blackwood",P000166,1920.0,2009.0,0.134,-0.47,-54.12193,0.758,195,28,,0.217,-0.337
87,Senate,2052,51,0,KY,200,0,1,"COOPER, John Sherman",C000758,1901.0,1991.0,0.07,-0.408,-177.59431,0.612,362,81,,0.057,-0.478
87,Senate,6745,51,0,KY,200,0,1,"MORTON, Thruston Ballard",M001022,1907.0,1982.0,0.2,-0.4,-132.15971,0.683,346,58,,0.166,-0.39
87,Senate,2901,45,0,LA,100,0,1,"ELLENDER, Allen Joseph",E000112,1890.0,1972.0,-0.089,0.996,-132.62333,0.709,386,65,,-0.088,0.996
87,Senate,5767,45,0,LA,100,0,1,"LONG, Russell Billiu",L000428,1918.0,2003.0,-0.18,0.873,-220.33453,0.57,392,91,,-0.301,0.954
87,Senate,6831,2,0,ME,100,0,1,"MUSKIE, Edmund Sixtus",M001121,1914.0,1996.0,-0.379,-0.052,-87.54731,0.8,393,36,,-0.34,0.005
87,Senate,8666,2,0,ME,200,0,1,"SMITH, Margaret Chase",S000590,1897.0,1995.0,0.1,-0.378,-156.89662,0.676,400,78,,0.14,-0.451
